,name,salary_from,salary_to,salary_currency,area_name,published_at
2602,Менеджер IT-процессов,,,,Москва,2022-12-15T12:05:29+0300
2603,Механик карьера,,,,Пионерский,2022-12-15T12:12:39+0300
2604,Копирайтер в крипто и NFT сфере,800.0,,USD,Москва,2022-12-15T15:45:18+0300
2605,Дизайнер СТМ (Senior),,,,Москва,2022-12-15T13:16:07+0300
2606,Шлифовщик (Ярославская область),97000.0,105000.0,RUR,Переславль-Залесский,2022-12-15T15:26:38+0300
2607,Системный администратор (в г. Галич),62500.0,75000.0,RUR,Ярославль,2022-12-15T12:12:41+0300
2608,Начальник отдела отдела методологии и автоматизации на платформе 1С,,250000.0,RUR,Москва,2022-12-15T17:25:07+0300
2609,Начальник центра по защите периметра сети,,,,Санкт-Петербург,2022-12-15T15:03:36+0300
2610,Ведущий инженер сопровождения почтовых систем,,,,Москва,2022-12-15T14:16:08+0300
2611,"Старший специалист поддержки 1С, ERP и учетные системы",,,,Москва,2022-12-15T16:16:47+0300
2612,Системный администратор Linux,,,,Москва,2022-12-15T12:02:22+0300
2613,Строгальщик,120000.0,120000.0,RUR,Пермь,2022-12-15T13:51:21+0300
2614,Битрикс24 (Bitrix24) - разработчик,,60000.0,RUR,Москва,2022-12-15T17:13:29+0300
2615,Токарь-универсал,105000.0,,RUR,Екатеринбург,2022-12-15T16:47:47+0300
2616,Менеджер по развитию внутренних порталов,130000.0,130000.0,RUR,Москва,2022-12-15T15:06:57+0300
2617,Специалист технической поддержки 1С,80000.0,,RUR,Москва,2022-12-15T16:11:51+0300
